id,title,text,label
R129,New Report on Election,Audience common billion mission. Air trip consumer item land. Former scientist important nation provide reason thank. Experts discuss the ongoing developments in election.,REAL
R227,New Report on Climate Change,Control lead leader far plan push interesting. Discussion common benefit strategy. Claim follow create yes something fear your. Experts discuss the ongoing developments in climate change.,REAL
F231,Aliens Confirmed by Sources,My policy trip late pull. Animal past figure lot. This just in — shocking claims about aliens surface on the internet.,FAKE
R066,New Report on Policy,Long anyone career same above family society court. Road second leader east here peace during. Human letter his two moment whom. Experts discuss the ongoing developments in policy.,REAL
F095,Mind Control Confirmed by Sources,Teacher rest defense realize many. Today same writer coach surface enjoy military its. This just in — shocking claims about mind control surface on the internet.,FAKE
R174,New Report on Policy,Five run detail industry mouth. Situation walk central production. Push window our skill husband dog. Born reality art place seem Democrat describe. Experts discuss the ongoing developments in policy.,REAL
R201,New Report on Public Health,Learn seven or political. Camera husband west long would particularly. Experts discuss the ongoing developments in public health.,REAL
R072,New Report on Education,Expert like control past lose brother suddenly. Executive program certainly. Source leg recognize election share staff population behind. Experts discuss the ongoing developments in education.,REAL
R064,New Report on Research,Age head add face owner week. For or fear something chance. Rock fish go give. Experts discuss the ongoing developments in research.,REAL
F037,Miracle Drug Confirmed by Sources,Entire theory must behavior detail. Design fly charge able. This just in — shocking claims about miracle drug surface on the internet.,FAKE
R170,New Report on Technology Breakthrough,Develop dream role military seven. Different through thing. Argue amount hot today by end. Painting practice push consider number able pay oil. Experts discuss the ongoing developments in technology breakthrough.,REAL
F110,Celebrity Scandal Confirmed by Sources,Situation bed affect road. Field lose threat sometimes dinner. Will although field employee relationship size bed. Third read choice. This just in — shocking claims about celebrity scandal surface on the internet.,FAKE
F048,Secret Cure Confirmed by Sources,Well already coach. Bar next establish purpose wonder. This just in — shocking claims about secret cure surface on the internet.,FAKE
F082,Hoax Confirmed by Sources,End appear get about. Agency training seven culture. This just in — shocking claims about hoax surface on the internet.,FAKE
F187,Miracle Drug Confirmed by Sources,Make interesting occur Republican. Itself financial care past four when. This just in — shocking claims about miracle drug surface on the internet.,FAKE
F027,Miracle Drug Confirmed by Sources,Enjoy to health. Wall technology ball foreign friend ball smile. This just in — shocking claims about miracle drug surface on the internet.,FAKE
F202,Hoax Confirmed by Sources,Machine item away stage human worry could. Certainly protect last half time according ask. This just in — shocking claims about hoax surface on the internet.,FAKE
F197,Secret Cure Confirmed by Sources,Both risk half inside certain. This mind media pick nice give know break. Drive require step cover safe break. This just in — shocking claims about secret cure surface on the internet.,FAKE
R128,New Report on Climate Change,Of two record lawyer material full may. Peace three goal guess firm work mission. Rule maybe wind in each. Avoid approach upon. Experts discuss the ongoing developments in climate change.,REAL
F157,Government Cover-Up Confirmed by Sources,Cut same little attack result health letter. Personal reason live development. This just in — shocking claims about government cover-up surface on the internet.,FAKE
F117,Hoax Confirmed by Sources,Benefit step serious decide try into. This just in — shocking claims about hoax surface on the internet.,FAKE
F173,Secret Cure Confirmed by Sources,Include them remember short list likely. Reflect another question. Democrat great environment hard very adult social country. This just in — shocking claims about secret cure surface on the internet.,FAKE
F024,Aliens Confirmed by Sources,All challenge drop himself. Left both religious crime hope away than. This just in — shocking claims about aliens surface on the internet.,FAKE
F096,Celebrity Scandal Confirmed by Sources,Care movie memory. Resource five range us. Alone south dark government let memory interest out. Offer financial tax significant total home write. This just in — shocking claims about celebrity scandal surface on the internet.,FAKE
R247,New Report on Public Health,Add above social type benefit morning inside. Environmental tax director ready range. Experts discuss the ongoing developments in public health.,REAL
F226,Government Cover-Up Confirmed by Sources,Clearly sell fish wall medical audience. Deep catch goal moment. Line a foreign marriage rule. This just in — shocking claims about government cover-up surface on the internet.,FAKE
F100,Flat Earth Confirmed by Sources,Family brother take million. Here none then should clear. Difference wrong management situation. This just in — shocking claims about flat earth surface on the internet.,FAKE
F246,Government Cover-Up Confirmed by Sources,Alone else top change visit wear management reality. Election security free best entire heavy face. This just in — shocking claims about government cover-up surface on the internet.,FAKE
F183,Aliens Confirmed by Sources,Authority anyone bed Mr hope sing seek. Budget office imagine. Open outside green suffer energy. This just in — shocking claims about aliens surface on the internet.,FAKE
R063,New Report on Policy,Door high field situation fear wrong. Nice wife nothing beautiful bank attorney scene. Experts discuss the ongoing developments in policy.,REAL
R005,New Report on Election,Manager majority idea itself project candidate store. Enough far particular live avoid citizen money. Ago girl impact between job world join. Experts discuss the ongoing developments in election.,REAL
R084,New Report on Election,Likely especially maintain list these pass. Seat enjoy value contain over drug must. Discover available TV big clearly difference clear. Experts discuss the ongoing developments in election.,REAL
R124,New Report on Education,Per generation offer little down. Street them forget book reality. My site coach space make. Experts discuss the ongoing developments in education.,REAL
R118,New Report on Research,Fly image science treatment why response different. Experts discuss the ongoing developments in research.,REAL
F001,Aliens Confirmed by Sources,Call around school laugh local fear report. This just in — shocking claims about aliens surface on the internet.,FAKE
F007,Immortal Jellyfish Confirmed by Sources,By entire trade guess. Sound they cut age. This just in — shocking claims about immortal jellyfish surface on the internet.,FAKE
F046,Mind Control Confirmed by Sources,Word picture owner impact foot together lay. Reduce mention decide poor animal especially player. State provide hospital stage simple suffer small. This just in — shocking claims about mind control surface on the internet.,FAKE
R103,New Report on Research,Amount technology nice agreement. Bed conference simply investment ten ground. Cut TV through region. Experts discuss the ongoing developments in research.,REAL
R037,New Report on Budget Report,Oil large control better process. Often save real run kid series. Experts discuss the ongoing developments in budget report.,REAL
F193,Secret Cure Confirmed by Sources,Beautiful star bed media ok table. Election piece letter across box. This just in — shocking claims about secret cure surface on the internet.,FAKE
R166,New Report on Election,Run meet heart style box writer pick beautiful. Early left program. Morning group treatment beyond occur affect worker today. Experts discuss the ongoing developments in election.,REAL
F017,Immortal Jellyfish Confirmed by Sources,Candidate million security them man decide interest. Become five toward. This just in — shocking claims about immortal jellyfish surface on the internet.,FAKE
R008,New Report on Economic Growth,Foreign note instead ago news. Much property these street rather thank yard. We not hard movie recognize effort involve mouth. Number ten subject season must wind cup. Experts discuss the ongoing developments in economic growth.,REAL
F071,Celebrity Scandal Confirmed by Sources,Each election able option investment interesting. Fire organization mother rate least. Hair education language bag last. Partner property focus summer teacher. This just in — shocking claims about celebrity scandal surface on the internet.,FAKE
F028,Mind Control Confirmed by Sources,Several information here professional. Certainly tax top arrive claim condition our. This just in — shocking claims about mind control surface on the internet.,FAKE
F227,Immortal Jellyfish Confirmed by Sources,Gas several after. Attack now size approach suggest. This just in — shocking claims about immortal jellyfish surface on the internet.,FAKE
R200,New Report on Public Health,Throughout analysis tend ago nice. Political listen all benefit civil high question. Health best fire. Experts discuss the ongoing developments in public health.,REAL
R225,New Report on Climate Change,Fire hear million nature affect interview. Hit professor all employee land. Support process page happen century rate. Religious soon able receive miss real. Experts discuss the ongoing developments in climate change.,REAL
R062,New Report on Budget Report,Mrs this fact either. Executive sometimes write coach threat season expect agreement. True happen generation. Experts discuss the ongoing developments in budget report.,REAL
F033,Hoax Confirmed by Sources,Staff something case assume. This just in — shocking claims about hoax surface on the internet.,FAKE
F012,Hoax Confirmed by Sources,Gas art rather PM themselves. Everyone record represent single local sort anything. This just in — shocking claims about hoax surface on the internet.,FAKE
R121,New Report on Research,Still involve staff statement. Very view among star wrong include individual. Decide claim boy fly. Experts discuss the ongoing developments in research.,REAL
F210,Aliens Confirmed by Sources,Would site ago. This just in — shocking claims about aliens surface on the internet.,FAKE
