id,title,filtered_words_str,label
R129,New Report on Election,audience common billion mission. air trip consumer item land. former scientist important nation provide reason thank. experts discuss ongoing developments election.,REAL
R227,New Report on Climate Change,control lead leader far plan push interesting. discussion common benefit strategy. claim follow create yes something fear your. experts discuss ongoing developments climate change.,REAL
F231,Aliens Confirmed by Sources,policy trip late pull. animal past figure lot. — shocking claims aliens surface internet.,FAKE
R066,New Report on Policy,long anyone career family society court. road second leader east peace during. human letter two moment whom. experts discuss ongoing developments policy.,REAL
F095,Mind Control Confirmed by Sources,teacher rest defense realize many. today writer coach surface enjoy military its. — shocking claims mind control surface internet.,FAKE
R174,New Report on Policy,five run detail industry mouth. situation walk central production. push window skill husband dog. born reality art place seem democrat describe. experts discuss ongoing developments policy.,REAL
R201,New Report on Public Health,learn seven political. camera husband west long particularly. experts discuss ongoing developments public health.,REAL
R072,New Report on Education,expert like control past lose brother suddenly. executive program certainly. source leg recognize election share staff population behind. experts discuss ongoing developments education.,REAL
R064,New Report on Research,age head add face owner week. fear something chance. rock fish go give. experts discuss ongoing developments research.,REAL
F037,Miracle Drug Confirmed by Sources,entire theory must behavior detail. design fly charge able. — shocking claims miracle drug surface internet.,FAKE
R170,New Report on Technology Breakthrough,develop dream role military seven. different thing. argue amount hot today end. painting practice push consider number able pay oil. experts discuss ongoing developments technology breakthrough.,REAL
F110,Celebrity Scandal Confirmed by Sources,situation bed affect road. field lose threat sometimes dinner. although field employee relationship size bed. third read choice. — shocking claims celebrity scandal surface internet.,FAKE
F048,Secret Cure Confirmed by Sources,well already coach. bar next establish purpose wonder. — shocking claims secret cure surface internet.,FAKE
F082,Hoax Confirmed by Sources,end appear get about. agency training seven culture. — shocking claims hoax surface internet.,FAKE
F187,Miracle Drug Confirmed by Sources,make interesting occur republican. financial care past four when. — shocking claims miracle drug surface internet.,FAKE
F027,Miracle Drug Confirmed by Sources,enjoy health. wall technology ball foreign friend ball smile. — shocking claims miracle drug surface internet.,FAKE
F202,Hoax Confirmed by Sources,machine item away stage human worry could. certainly protect last half time according ask. — shocking claims hoax surface internet.,FAKE
F197,Secret Cure Confirmed by Sources,risk half inside certain. mind media pick nice give know break. drive require step cover safe break. — shocking claims secret cure surface internet.,FAKE
R128,New Report on Climate Change,two record lawyer material full may. peace three goal guess firm work mission. rule maybe wind each. avoid approach upon. experts discuss ongoing developments climate change.,REAL
F157,Government Cover-Up Confirmed by Sources,cut little attack result health letter. personal reason live development. — shocking claims government cover-up surface internet.,FAKE
F117,Hoax Confirmed by Sources,benefit step serious decide try into. — shocking claims hoax surface internet.,FAKE
F173,Secret Cure Confirmed by Sources,include remember short list likely. reflect another question. democrat great environment hard adult social country. — shocking claims secret cure surface internet.,FAKE
F024,Aliens Confirmed by Sources,challenge drop himself. left religious crime hope away than. — shocking claims aliens surface internet.,FAKE
F096,Celebrity Scandal Confirmed by Sources,care movie memory. resource five range us. alone south dark government let memory interest out. offer financial tax significant total home write. — shocking claims celebrity scandal surface internet.,FAKE
R247,New Report on Public Health,add social type benefit morning inside. environmental tax director ready range. experts discuss ongoing developments public health.,REAL
F226,Government Cover-Up Confirmed by Sources,clearly sell fish wall medical audience. deep catch goal moment. line foreign marriage rule. — shocking claims government cover-up surface internet.,FAKE
F100,Flat Earth Confirmed by Sources,family brother take million. none clear. difference wrong management situation. — shocking claims flat earth surface internet.,FAKE
F246,Government Cover-Up Confirmed by Sources,alone else top change visit wear management reality. election security free best entire heavy face. — shocking claims government cover-up surface internet.,FAKE
F183,Aliens Confirmed by Sources,authority anyone bed mr hope sing seek. budget office imagine. open outside green suffer energy. — shocking claims aliens surface internet.,FAKE
R063,New Report on Policy,door high field situation fear wrong. nice wife nothing beautiful bank attorney scene. experts discuss ongoing developments policy.,REAL
R005,New Report on Election,manager majority idea project candidate store. enough far particular live avoid citizen money. ago girl impact job world join. experts discuss ongoing developments election.,REAL
R084,New Report on Election,likely especially maintain list pass. seat enjoy value contain drug must. discover available tv big clearly difference clear. experts discuss ongoing developments election.,REAL
R124,New Report on Education,per generation offer little down. street forget book reality. site coach space make. experts discuss ongoing developments education.,REAL
R118,New Report on Research,fly image science treatment response different. experts discuss ongoing developments research.,REAL
F001,Aliens Confirmed by Sources,call around school laugh local fear report. — shocking claims aliens surface internet.,FAKE
F007,Immortal Jellyfish Confirmed by Sources,entire trade guess. sound cut age. — shocking claims immortal jellyfish surface internet.,FAKE
F046,Mind Control Confirmed by Sources,word picture owner impact foot together lay. reduce mention decide poor animal especially player. state provide hospital stage simple suffer small. — shocking claims mind control surface internet.,FAKE
R103,New Report on Research,amount technology nice agreement. bed conference simply investment ten ground. cut tv region. experts discuss ongoing developments research.,REAL
R037,New Report on Budget Report,oil large control better process. often save real run kid series. experts discuss ongoing developments budget report.,REAL
F193,Secret Cure Confirmed by Sources,beautiful star bed media ok table. election piece letter across box. — shocking claims secret cure surface internet.,FAKE
R166,New Report on Election,run meet heart style box writer pick beautiful. early left program. morning group treatment beyond occur affect worker today. experts discuss ongoing developments election.,REAL
F017,Immortal Jellyfish Confirmed by Sources,candidate million security man decide interest. become five toward. — shocking claims immortal jellyfish surface internet.,FAKE
R008,New Report on Economic Growth,foreign note instead ago news. much property street rather thank yard. hard movie recognize effort involve mouth. number ten subject season must wind cup. experts discuss ongoing developments economic growth.,REAL
F071,Celebrity Scandal Confirmed by Sources,election able option investment interesting. fire organization mother rate least. hair education language bag last. partner property focus summer teacher. — shocking claims celebrity scandal surface internet.,FAKE
F028,Mind Control Confirmed by Sources,several information professional. certainly tax top arrive claim condition our. — shocking claims mind control surface internet.,FAKE
F227,Immortal Jellyfish Confirmed by Sources,gas several after. attack size approach suggest. — shocking claims immortal jellyfish surface internet.,FAKE
R200,New Report on Public Health,throughout analysis tend ago nice. political listen benefit civil high question. health best fire. experts discuss ongoing developments public health.,REAL
R225,New Report on Climate Change,fire hear million nature affect interview. hit professor employee land. support process page happen century rate. religious soon able receive miss real. experts discuss ongoing developments climate change.,REAL
R062,New Report on Budget Report,mrs fact either. executive sometimes write coach threat season expect agreement. true happen generation. experts discuss ongoing developments budget report.,REAL
F033,Hoax Confirmed by Sources,staff something case assume. — shocking claims hoax surface internet.,FAKE
F012,Hoax Confirmed by Sources,gas art rather pm themselves. everyone record represent single local sort anything. — shocking claims hoax surface internet.,FAKE
R121,New Report on Research,still involve staff statement. view among star wrong include individual. decide claim boy fly. experts discuss ongoing developments research.,REAL
F210,Aliens Confirmed by Sources,site ago. — shocking claims aliens surface internet.,FAKE
F151,Hoax Confirmed by Sources,bit cut shake. mr citizen item cell. — shocking claims hoax surface internet.,FAKE
F099,Secret Cure Confirmed by Sources,company activity top seat. see pick final pretty. tax wide benefit scientist half make. — shocking claims secret cure surface internet.,FAKE
R090,New Report on Technology Breakthrough,risk choose seven range. politics station lawyer building. dark spring station suddenly help despite student live. fill consider right role. experts discuss ongoing developments technology breakthrough.,REAL
R125,New Report on Budget Report,never long sign understand hard usually. age machine night major doctor mother. experts discuss ongoing developments budget report.,REAL
R091,New Report on Climate Change,city seek soldier relate next that. toward perhaps leader. road dark economic cultural. experts discuss ongoing developments climate change.,REAL
R157,New Report on Climate Change,reduce bed win affect. name point degree beyond base politics each. experts discuss ongoing developments climate change.,REAL
F098,Miracle Drug Confirmed by Sources,response western police yes moment. — shocking claims miracle drug surface internet.,FAKE
F164,Immortal Jellyfish Confirmed by Sources,give pretty condition despite network arm keep. woman culture. modern drop system finally article responsibility court. — shocking claims immortal jellyfish surface internet.,FAKE
R050,New Report on Economic Growth,computer action theory summer. good perhaps appear sister ask tough house. experts discuss ongoing developments economic growth.,REAL
R249,New Report on Climate Change,order city. ahead build garden bed hit draw some. spend alone everyone energy reality. property book talk people theory within indicate. experts discuss ongoing developments climate change.,REAL
R093,New Report on Election,course natural development life sort show. clear without feeling. girl quality owner attorney face. experts discuss ongoing developments election.,REAL
R131,New Report on Education,order experience head policy alone opportunity majority. price say rise system degree hair budget rate. rest help brother. experts discuss ongoing developments education.,REAL
F107,Flat Earth Confirmed by Sources,cost us agent need treat throughout person. truth nation money apply mrs today system carry. public create born like such. — shocking claims flat earth surface internet.,FAKE
F153,Hoax Confirmed by Sources,personal blood pay drop six factor thank. deal right someone. — shocking claims hoax surface internet.,FAKE
F091,Flat Earth Confirmed by Sources,area often. situation good. — shocking claims flat earth surface internet.,FAKE
R246,New Report on Economic Growth,probably front seem. suggest nature town number girl sort factor. experts discuss ongoing developments economic growth.,REAL
F004,Secret Cure Confirmed by Sources,politics effect nothing speak likely leader popular. forward artist word purpose reduce. somebody place possible assume concern. — shocking claims secret cure surface internet.,FAKE
F220,Celebrity Scandal Confirmed by Sources,sing foreign future process. action network exist mind major. — shocking claims celebrity scandal surface internet.,FAKE
F121,Hoax Confirmed by Sources,peace leader pattern affect prevent them. model party capital attack give. particularly determine dinner. — shocking claims hoax surface internet.,FAKE
F245,Mind Control Confirmed by Sources,foreign free task collection. life goal kid despite skin itself. chance coach partner mean society. — shocking claims mind control surface internet.,FAKE
R035,New Report on Climate Change,news task position. believe situation treat may tv organization. experts discuss ongoing developments climate change.,REAL
R024,New Report on Education,rise thank current argue side spend. available clear read several everything best. experts discuss ongoing developments education.,REAL
F079,Miracle Drug Confirmed by Sources,company room well pass order take. cover deep citizen debate truth hair worry. upon win small pay. — shocking claims miracle drug surface internet.,FAKE
R094,New Report on Policy,though field others office old region. congress behavior home send cold focus mrs. son thus stock republican white. experts discuss ongoing developments policy.,REAL
R040,New Report on Policy,practice according forget state loss. street question increase without than. experts discuss ongoing developments policy.,REAL
F170,Immortal Jellyfish Confirmed by Sources,provide reach scientist knowledge loss tonight certainly. difference fill relate one partner party page. child expect star. — shocking claims immortal jellyfish surface internet.,FAKE
F130,Immortal Jellyfish Confirmed by Sources,result century say coach. rather together stop cup. commercial audience explain agent bad. — shocking claims immortal jellyfish surface internet.,FAKE
R085,New Report on Economic Growth,manager thousand newspaper interview. hand girl right. practice explain discussion certain against. miss audience entire material. experts discuss ongoing developments economic growth.,REAL
R054,New Report on Budget Report,threat popular network follow husband. success recent sister last word. experts discuss ongoing developments budget report.,REAL
R047,New Report on Technology Breakthrough,agency decide special civil well. important generation dark physical result world. local year piece notice. experts discuss ongoing developments technology breakthrough.,REAL
R199,New Report on Economic Growth,chance without particularly animal cost ok. natural share student keep number television. charge probably whether follow never source. experts discuss ongoing developments economic growth.,REAL
F062,Miracle Drug Confirmed by Sources,thing memory voice local doctor network. former paper success act. — shocking claims miracle drug surface internet.,FAKE
R244,New Report on Technology Breakthrough,man late agree soon catch. war course election student listen force watch maintain. list turn pass sea. owner table particularly try challenge. experts discuss ongoing developments technology breakthrough.,REAL
R107,New Report on Election,support today attack early task mention forget. experts discuss ongoing developments election.,REAL
F148,Aliens Confirmed by Sources,form finish hotel clearly return according. else citizen person firm. — shocking claims aliens surface internet.,FAKE
F023,Mind Control Confirmed by Sources,arrive relationship fear conference fill. behind fill good gas control. moment minute fall goal someone. — shocking claims mind control surface internet.,FAKE
R075,New Report on Budget Report,two however great good. hope prove choice sometimes. experts discuss ongoing developments budget report.,REAL
R220,New Report on Public Health,improve final tv foot. price billion manage under. hospital find force past letter eat. experts discuss ongoing developments public health.,REAL
R099,New Report on Economic Growth,show senior rate able. author important parent federal fear become. agency management party staff employee old street. experts discuss ongoing developments economic growth.,REAL
F066,Flat Earth Confirmed by Sources,bad protect process. product leader board news. end network take. — shocking claims flat earth surface internet.,FAKE
F060,Flat Earth Confirmed by Sources,music run truth recent third. consumer city red community put. — shocking claims flat earth surface internet.,FAKE
F022,Government Cover-Up Confirmed by Sources,month tax program. beautiful work current message toward. end analysis whether employee consumer. — shocking claims government cover-up surface internet.,FAKE
F127,Mind Control Confirmed by Sources,catch response help medical. perform similar short father thank. show director population character. — shocking claims mind control surface internet.,FAKE
R212,New Report on Education,place community art generation goal walk new. good mention single industry kitchen. experts discuss ongoing developments education.,REAL
F119,Mind Control Confirmed by Sources,view none single. certainly letter movement foreign. size prepare order. — shocking claims mind control surface internet.,FAKE
F103,Hoax Confirmed by Sources,try government control morning air suffer. west power know economic discuss serve. — shocking claims hoax surface internet.,FAKE
F191,Mind Control Confirmed by Sources,late bank research think various. — shocking claims mind control surface internet.,FAKE
F002,Mind Control Confirmed by Sources,culture walk vote generation. mother store idea others. usually town pull participant near and. — shocking claims mind control surface internet.,FAKE
R155,New Report on Election,eat among defense food pull. tell car always. experts discuss ongoing developments election.,REAL
R006,New Report on Technology Breakthrough,public car skill class. site middle tv similar couple tv light. back appear school common town control likely. experts discuss ongoing developments technology breakthrough.,REAL
F086,Government Cover-Up Confirmed by Sources,cover agency ground face republican design social. magazine history decade us serious light. — shocking claims government cover-up surface internet.,FAKE
R168,New Report on Election,little back special benefit. accept student style party door leg style. none institution item forget four. experts discuss ongoing developments election.,REAL
R077,New Report on Public Health,town responsibility need near real try. sit sit design. among prevent indeed especially market push. experts discuss ongoing developments public health.,REAL
F209,Hoax Confirmed by Sources,weight goal series evidence culture base. thank almost exist process. — shocking claims hoax surface internet.,FAKE
R236,New Report on Public Health,radio main ok sign may sea. say city he. even cost economic quality treatment shoulder. experts discuss ongoing developments public health.,REAL
F186,Aliens Confirmed by Sources,color international practice per international born. job training fine threat. charge six data already four thousand. — shocking claims aliens surface internet.,FAKE
R243,New Report on Public Health,order everyone yes race approach improve. fine put should. experts discuss ongoing developments public health.,REAL
F094,Immortal Jellyfish Confirmed by Sources,suddenly everyone need according dog. science trouble believe message. thus tough plant although window experience positive. — shocking claims immortal jellyfish surface internet.,FAKE
R032,New Report on Economic Growth,ask poor radio issue expect citizen. measure stage tell. experts discuss ongoing developments economic growth.,REAL
R033,New Report on Education,art develop policy suffer society. mouth young black performance force product time. experts discuss ongoing developments education.,REAL
R045,New Report on Technology Breakthrough,spend either suffer data. go sport yard still within expert. experts discuss ongoing developments technology breakthrough.,REAL
R116,New Report on Education,mean shake listen heart across beat. image response. rule side join listen even. tend factor future hand until. experts discuss ongoing developments education.,REAL
F056,Celebrity Scandal Confirmed by Sources,three poor ahead price nothing term. agent sound state use. whatever child dream political bad section. — shocking claims celebrity scandal surface internet.,FAKE
R043,New Report on Policy,role someone consider environment discussion. need occur condition herself. experts discuss ongoing developments policy.,REAL
R145,New Report on Economic Growth,feel lay modern stay improve yard can. story head debate note. sell person. experts discuss ongoing developments economic growth.,REAL
F200,Secret Cure Confirmed by Sources,cell accept sense act participant team fall. option move total probably. — shocking claims secret cure surface internet.,FAKE
F034,Celebrity Scandal Confirmed by Sources,generation miss take quality physical hotel behavior wish. future hospital guess expect everybody challenge no. outside positive deal town. — shocking claims celebrity scandal surface internet.,FAKE
F149,Secret Cure Confirmed by Sources,region particular win either western natural. war nation make series food determine. report cost statement deal. — shocking claims secret cure surface internet.,FAKE
F051,Secret Cure Confirmed by Sources,result growth likely lawyer. especially start enjoy size. fund kid report. — shocking claims secret cure surface internet.,FAKE
F089,Flat Earth Confirmed by Sources,staff teach middle. work energy add indeed man religious. reveal night western land. — shocking claims flat earth surface internet.,FAKE
F135,Flat Earth Confirmed by Sources,common six risk gas doctor. walk dream letter develop. — shocking claims flat earth surface internet.,FAKE
F088,Government Cover-Up Confirmed by Sources,keep operation not. choose local play popular data. west remain ball minute wish feeling black. — shocking claims government cover-up surface internet.,FAKE
R010,New Report on Election,house federal seek despite water mrs hospital. animal save agreement site. experts discuss ongoing developments election.,REAL
R211,New Report on Policy,military call sure school get opportunity choose. training next executive eye. experts discuss ongoing developments policy.,REAL
F204,Miracle Drug Confirmed by Sources,enter enjoy amount structure field. inside research stand participant chair network discussion. eye common begin military staff dark. — shocking claims miracle drug surface internet.,FAKE
F168,Miracle Drug Confirmed by Sources,rest air face court increase else put. reflect particularly laugh space assume course provide. — shocking claims miracle drug surface internet.,FAKE
R011,New Report on Public Health,trade site american. thought yet live today. serve always respond court usually usually security. experts discuss ongoing developments public health.,REAL
R232,New Report on Climate Change,protect risk skin. beautiful enter view teacher beautiful. five brother meeting strong want executive. experts discuss ongoing developments climate change.,REAL
R042,New Report on Public Health,among important something reason sign mouth arm. range get though theory relationship drug mean. experts discuss ongoing developments public health.,REAL
F182,Hoax Confirmed by Sources,cold notice floor community exactly finish. admit large theory attack nation receive. town economic officer analysis economic. discuss let order million identify. — shocking claims hoax surface internet.,FAKE
F036,Miracle Drug Confirmed by Sources,air care each. character reach physical positive however. — shocking claims miracle drug surface internet.,FAKE
F068,Secret Cure Confirmed by Sources,guy wish energy voice century. series might firm may speech. — shocking claims secret cure surface internet.,FAKE
R015,New Report on Election,left sport spring pressure modern decide conference. experts discuss ongoing developments election.,REAL
R147,New Report on Climate Change,establish indeed lead political. course traditional back. mrs girl fish tend create. experts discuss ongoing developments climate change.,REAL
F198,Government Cover-Up Confirmed by Sources,lay bill unit build. probably later plan pull image. market prove trial soon interest consumer list hundred. — shocking claims government cover-up surface internet.,FAKE
R081,New Report on Climate Change,candidate tonight pretty sing. expert interview fund. child doctor station spring adult beat. experts discuss ongoing developments climate change.,REAL
F050,Aliens Confirmed by Sources,art network administration question spend particularly. pick toward main. — shocking claims aliens surface internet.,FAKE
F162,Celebrity Scandal Confirmed by Sources,travel note stuff black say. — shocking claims celebrity scandal surface internet.,FAKE
R028,New Report on Technology Breakthrough,buy model everybody quality light edge. draw present that. experts discuss ongoing developments technology breakthrough.,REAL
R195,New Report on Budget Report,food challenge understand gun. career set sign relate choose decide. experts discuss ongoing developments budget report.,REAL
F116,Aliens Confirmed by Sources,speech future finally court investment case past possible. majority office worker father ask. — shocking claims aliens surface internet.,FAKE
R018,New Report on Research,manager write play notice. democrat live leg shoulder treatment person. experts discuss ongoing developments research.,REAL
F073,Immortal Jellyfish Confirmed by Sources,ever claim wonder least recent. — shocking claims immortal jellyfish surface internet.,FAKE
F059,Miracle Drug Confirmed by Sources,everybody feeling short next matter. — shocking claims miracle drug surface internet.,FAKE
R078,New Report on Budget Report,knowledge glass way feel me. growth citizen production wife represent last trade. hundred wonder might father describe behind shoulder. experts discuss ongoing developments budget report.,REAL
F216,Secret Cure Confirmed by Sources,part create movie increase. sit watch system son. — shocking claims secret cure surface internet.,FAKE
F206,Celebrity Scandal Confirmed by Sources,end blood walk think data manage. card purpose late finish home remember nature. — shocking claims celebrity scandal surface internet.,FAKE
R036,New Report on Research,sport buy nation join live. pm movement cost. four wife manage story move really mouth. experts discuss ongoing developments research.,REAL
F104,Aliens Confirmed by Sources,wide reflect eight grow center. employee describe money serve left. — shocking claims aliens surface internet.,FAKE
F000,Hoax Confirmed by Sources,player low move care. film without evidence. — shocking claims hoax surface internet.,FAKE
R136,New Report on Education,natural never nature pm. experts discuss ongoing developments education.,REAL
F019,Immortal Jellyfish Confirmed by Sources,rise dream mention state fear food. close role mother see society drive. — shocking claims immortal jellyfish surface internet.,FAKE
R012,New Report on Technology Breakthrough,method many stay those. five able poor nearly low. experts discuss ongoing developments technology breakthrough.,REAL
R052,New Report on Education,single figure soldier international heart letter crime. fish around item receive senior. experts discuss ongoing developments education.,REAL
R123,New Report on Climate Change,focus site he. surface floor challenge agree need sense red. experts discuss ongoing developments climate change.,REAL
F040,Government Cover-Up Confirmed by Sources,allow peace company. run notice somebody though. mention pay begin. — shocking claims government cover-up surface internet.,FAKE
R160,New Report on Climate Change,sound condition final. large challenge area. dog foot environmental. experts discuss ongoing developments climate change.,REAL
F067,Immortal Jellyfish Confirmed by Sources,good side minute plant find animal factor. available benefit which. yet center drop life medical game them. — shocking claims immortal jellyfish surface internet.,FAKE
R069,New Report on Research,risk friend course pick. step speech admit. experts discuss ongoing developments research.,REAL
F160,Mind Control Confirmed by Sources,rather away investment religious seek light stock. somebody raise raise value several fly fill stay. room agreement news provide. — shocking claims mind control surface internet.,FAKE
F053,Hoax Confirmed by Sources,yes similar street. address relate well better. rise agreement work yeah represent. — shocking claims hoax surface internet.,FAKE
